geomid,naics,workers
872830006ffffff,Art/Culture,2.872
872830006ffffff,Business Support,1.003
872830006ffffff,Construction,10.447
872830006ffffff,Education,4.602
872830006ffffff,Energy,0.062
872830006ffffff,Financial,0.383
872830006ffffff,Health,11.413
872830006ffffff,Hospitality,2.915
872830006ffffff,Information,1.166
872830006ffffff,Manufacturing,3.26
872830006ffffff,Professional Service,1.711
872830006ffffff,Public Administration,1.336
872830006ffffff,Real Estate,2.599
872830006ffffff,Retail,4.003
872830006ffffff,Transportation,3.505
872830006ffffff,Wholesale,0.13
87283000cffffff,Art/Culture,11.815
87283000cffffff,Business Support,9.508
87283000cffffff,Construction,11.835
87283000cffffff,Education,47.516
87283000cffffff,Energy,2.026
87283000cffffff,Financial,4.92
87283000cffffff,Health,99.793
87283000cffffff,Hospitality,85.3
87283000cffffff,Information,4.995
87283000cffffff,Manufacturing,21.085
87283000cffffff,Professional Service,13.082
87283000cffffff,Public Administration,12.229
87283000cffffff,Real Estate,2.543
87283000cffffff,Retail,12.356
87283000cffffff,Transportation,24.865
87283000cffffff,Wholesale,6.353
872830019ffffff,Art/Culture,0.814
872830019ffffff,Business Support,0.942
872830019ffffff,Construction,3.457
872830019ffffff,Education,0.864
872830019ffffff,Energy,0.728
872830019ffffff,Financial,1.559
872830019ffffff,Health,1.832
872830019ffffff,Hospitality,5.908
872830019ffffff,Information,0.758
872830019ffffff,Manufacturing,0.074
872830019ffffff,Professional Service,0.856
872830019ffffff,Public Administration,0.733
872830019ffffff,Retail,0.914
872830019ffffff,Transportation,0.861
872830020ffffff,Art/Culture,61.325
872830020ffffff,Business Support,68.277
872830020ffffff,Construction,27.267
872830020ffffff,Education,118.168
872830020ffffff,Energy,27.432
872830020ffffff,Financial,13.979
872830020ffffff,Health,303.762
872830020ffffff,Hospitality,390.169
872830020ffffff,Information,15.443
872830020ffffff,Manufacturing,29.438
872830020ffffff,Professional Service,28.853
872830020ffffff,Public Administration,47.762
872830020ffffff,Real Estate,14.89
872830020ffffff,Retail,191.835
872830020ffffff,Transportation,303.495
872830020ffffff,Wholesale,86.598
872830021ffffff,Art/Culture,62.861
872830021ffffff,Business Support,67.985
872830021ffffff,Construction,37.833
872830021ffffff,Corporate,0.091
872830021ffffff,Education,191.046
872830021ffffff,Energy,9.029
872830021ffffff,Financial,11.908
872830021ffffff,Health,530.561
872830021ffffff,Hospitality,231.009
872830021ffffff,Information,6.177
872830021ffffff,Manufacturing,32.717
872830021ffffff,Professional Service,25.483
872830021ffffff,Public Administration,25.624
872830021ffffff,Real Estate,17.232
872830021ffffff,Retail,59.799
872830021ffffff,Transportation,92.161
872830021ffffff,Wholesale,21.324
872830024ffffff,Art/Culture,11.028
872830024ffffff,Business Support,11.61
872830024ffffff,Construction,43.542
872830024ffffff,Corporate,0.0
872830024ffffff,Education,58.009
872830024ffffff,Energy,9.397
872830024ffffff,Financial,4.109
872830024ffffff,Health,72.672
872830024ffffff,Hospitality,117.667
872830024ffffff,Information,5.448
872830024ffffff,Manufacturing,13.208
872830024ffffff,Professional Service,7.388
872830024ffffff,Public Administration,22.325
872830024ffffff,Real Estate,17.807
872830024ffffff,Retail,75.149
872830024ffffff,Transportation,112.154
