geomid,naics,workers
88498648a1fffff,Art/Culture,63
88498648a1fffff,Business Support,1
88498648a1fffff,Construction,12
88498648a1fffff,Corporate,32
88498648a1fffff,Education,20
88498648a1fffff,Financial,2
88498648a1fffff,Health,34
88498648a1fffff,Hospitality,155
88498648a1fffff,Manufacturing,11
88498648a1fffff,Public Administration,110
88498648a1fffff,Real Estate,18
88498648a1fffff,Retail,154
88498648a1fffff,Wholesale,1
88498649b1fffff,Art/Culture,1
88498649b1fffff,Education,6
88498649b1fffff,Hospitality,85
88498649b1fffff,Manufacturing,1
88498649b1fffff,Public Administration,12
88498649b1fffff,Retail,6
88498649b7fffff,Business Support,2
88498649b7fffff,Education,24
88498649b7fffff,Energy,2
88498649b7fffff,Health,4
88498649b7fffff,Hospitality,7
88498649b7fffff,Manufacturing,2
88498649b7fffff,Retail,30
88498649c1fffff,Art/Culture,36
88498649c1fffff,Business Support,1
88498649c1fffff,Education,30
88498649c1fffff,Energy,14
88498649c1fffff,Health,52
88498649c1fffff,Hospitality,79
88498649c1fffff,Manufacturing,25
88498649c1fffff,Professional Service,1
88498649c1fffff,Public Administration,10
88498649c1fffff,Retail,155
88498649c1fffff,Transportation,1
88498649c1fffff,Wholesale,3
88499516d9fffff,Art/Culture,4
88499516d9fffff,Business Support,5
88499516d9fffff,Education,189
88499516d9fffff,Energy,6
88499516d9fffff,Health,37
88499516d9fffff,Hospitality,56
88499516d9fffff,Information,1
88499516d9fffff,Manufacturing,105
88499516d9fffff,Professional Service,5
88499516d9fffff,Public Administration,62
88499516d9fffff,Real Estate,17
88499516d9fffff,Retail,218
88499516d9fffff,Wholesale,19
8849958001fffff,Art/Culture,34
8849958001fffff,Business Support,25
8849958001fffff,Education,67
8849958001fffff,Energy,6
8849958001fffff,Financial,133
8849958001fffff,Health,109
8849958001fffff,Hospitality,173
8849958001fffff,Information,14
8849958001fffff,Manufacturing,71
8849958001fffff,Professional Service,54
8849958001fffff,Public Administration,725
8849958001fffff,Real Estate,13
8849958001fffff,Retail,587
8849958001fffff,Wholesale,54
8849958003fffff,Art/Culture,44
8849958003fffff,Business Support,1
8849958003fffff,Education,115
8849958003fffff,Health,8
8849958003fffff,Hospitality,5
8849958003fffff,Manufacturing,4
8849958003fffff,Professional Service,32
8849958003fffff,Public Administration,6
8849958003fffff,Retail,14
8849958003fffff,Transportation,12
8849958005fffff,Art/Culture,21
8849958005fffff,Business Support,8
8849958005fffff,Education,170
8849958005fffff,Energy,2
8849958005fffff,Financial,9
8849958005fffff,Health,407
8849958005fffff,Hospitality,63
8849958005fffff,Information,19
8849958005fffff,Manufacturing,46
8849958005fffff,Professional Service,5
8849958005fffff,Public Administration,548
8849958005fffff,Real Estate,5
8849958005fffff,Retail,258
8849958005fffff,Wholesale,31
8849958009fffff,Education,12
8849958009fffff,Energy,7
8849958009fffff,Health,16
8849958009fffff,Hospitality,6
8849958009fffff,Manufacturing,18
8849958009fffff,Real Estate,3
8849958009fffff,Retail,45
8849958009fffff,Wholesale,1
884995800dfffff,Art/Culture,5
884995800dfffff,Business Support,2
884995800dfffff,Education,212
884995800dfffff,Financial,2
884995800dfffff,Health,58
884995800dfffff,Hospitality,64
884995800dfffff,Manufacturing,39
884995800dfffff,Professional Service,9
884995800dfffff,Public Administration,25
884995800dfffff,Real Estate,2
884995800dfffff,Retail,182
884995800dfffff,Transportation,1
884995800dfffff,Wholesale,23
8849958013fffff,Art/Culture,12
8849958013fffff,Hospitality,31
8849958013fffff,Manufacturing,2
8849958013fffff,Real Estate,1
8849958013fffff,Retail,9
8849958019fffff,Art/Culture,18
8849958019fffff,Business Support,9
8849958019fffff,Construction,2
8849958019fffff,Education,104
8849958019fffff,Health,59
8849958019fffff,Hospitality,107
8849958019fffff,Information,6
8849958019fffff,Manufacturing,233
8849958019fffff,Professional Service,3
8849958019fffff,Public Administration,26
8849958019fffff,Real Estate,2
8849958019fffff,Retail,349
8849958019fffff,Wholesale,22
8849958021fffff,Business Support,1
8849958021fffff,Education,32
8849958021fffff,Energy,1
8849958021fffff,Hospitality,15
8849958021fffff,Manufacturing,13
8849958021fffff,Public Administration,315
8849958021fffff,Retail,67
8849958021fffff,Transportation,1
8849958021fffff,Wholesale,3
8849958027fffff,Art/Culture,8
8849958027fffff,Business Support,3
8849958027fffff,Education,14
