geomid,naics,workers
872912494ffffff,Art/Culture,36.326
872912494ffffff,Business Support,66.319
872912494ffffff,Construction,91.757
872912494ffffff,Corporate,0.514
872912494ffffff,Education,41.868
872912494ffffff,Energy,0.103
872912494ffffff,Financial,50.798
872912494ffffff,Health,68.702
872912494ffffff,Hospitality,78.284
872912494ffffff,Information,43.563
872912494ffffff,Manufacturing,31.643
872912494ffffff,Professional Service,80.65
872912494ffffff,Public Administration,39.599
872912494ffffff,Real Estate,24.025
872912494ffffff,Retail,8.089
872912494ffffff,Transportation,8.915
872912494ffffff,Wholesale,6.154
8729a0255ffffff,Art/Culture,72.197
8729a0255ffffff,Business Support,300.208
8729a0255ffffff,Construction,544.731
8729a0255ffffff,Corporate,4.496
8729a0255ffffff,Education,482.344
8729a0255ffffff,Energy,41.17
8729a0255ffffff,Financial,262.125
8729a0255ffffff,Health,761.95
8729a0255ffffff,Hospitality,122.316
8729a0255ffffff,Information,305.052
8729a0255ffffff,Manufacturing,776.23
8729a0255ffffff,Professional Service,469.562
8729a0255ffffff,Public Administration,230.404
8729a0255ffffff,Real Estate,141.587
8729a0255ffffff,Retail,200.57
8729a0255ffffff,Transportation,216.86
8729a0255ffffff,Wholesale,99.041
8729a02ecffffff,Art/Culture,2.782
8729a02ecffffff,Business Support,0.191
8729a02ecffffff,Construction,57.764
8729a02ecffffff,Education,12.174
8729a02ecffffff,Energy,0.074
8729a02ecffffff,Financial,0.444
8729a02ecffffff,Health,19.835
8729a02ecffffff,Hospitality,7.458
8729a02ecffffff,Information,0.222
8729a02ecffffff,Manufacturing,0.104
8729a02ecffffff,Professional Service,0.555
8729a02ecffffff,Public Administration,0.166
8729a02ecffffff,Real Estate,0.185
8729a02ecffffff,Retail,1.334
8729a02ecffffff,Transportation,0.416
8729a02ecffffff,Wholesale,0.086
8729a0362ffffff,Art/Culture,2.357
8729a0362ffffff,Business Support,9.331
8729a0362ffffff,Construction,0.178
8729a0362ffffff,Education,16.315
8729a0362ffffff,Financial,2.057
8729a0362ffffff,Health,29.385
8729a0362ffffff,Hospitality,6.687
8729a0362ffffff,Information,4.626
8729a0362ffffff,Manufacturing,0.67
8729a0362ffffff,Professional Service,0.168
8729a0362ffffff,Public Administration,0.276
8729a0362ffffff,Real Estate,0.128
8729a0362ffffff,Retail,1.354
8729a0362ffffff,Transportation,1.443
8729a0362ffffff,Wholesale,1.41
8729a0364ffffff,Art/Culture,19.957
8729a0364ffffff,Business Support,8.846
8729a0364ffffff,Construction,40.827
8729a0364ffffff,Education,24.864
8729a0364ffffff,Energy,3.652
8729a0364ffffff,Financial,8.03
8729a0364ffffff,Health,47.974
8729a0364ffffff,Hospitality,33.846
8729a0364ffffff,Information,5.964
8729a0364ffffff,Manufacturing,27.376
8729a0364ffffff,Professional Service,9.573
8729a0364ffffff,Public Administration,12.791
8729a0364ffffff,Real Estate,3.43
8729a0364ffffff,Retail,23.094
8729a0364ffffff,Transportation,27.949
8729a0364ffffff,Wholesale,9.958
8729a0365ffffff,Art/Culture,27.934
8729a0365ffffff,Business Support,104.05
8729a0365ffffff,Construction,426.961
8729a0365ffffff,Corporate,0.119
8729a0365ffffff,Education,150.408
8729a0365ffffff,Energy,13.121
8729a0365ffffff,Financial,93.314
8729a0365ffffff,Health,301.645
8729a0365ffffff,Hospitality,156.157
8729a0365ffffff,Information,52.704
8729a0365ffffff,Manufacturing,185.043
8729a0365ffffff,Professional Service,111.359
8729a0365ffffff,Public Administration,45.935
8729a0365ffffff,Real Estate,50.055
8729a0365ffffff,Retail,63.243
8729a0365ffffff,Transportation,71.576
8729a0365ffffff,Wholesale,33.436
8729a0366ffffff,Art/Culture,34.543
8729a0366ffffff,Business Support,1.905
8729a0366ffffff,Construction,7.567
8729a0366ffffff,Education,50.141
8729a0366ffffff,Energy,1.716
8729a0366ffffff,Financial,3.793
