geomid,naics,workers
3304557005001,Art/Culture,669
3304557005001,Business Support,3023
3304557005001,Construction,2758
3304557005001,Corporate,297
3304557005001,Education,2228
3304557005001,Energy,760
3304557005001,Financial,2096
3304557005001,Health,379
3304557005001,Hospitality,795
3304557005001,Information,5256
3304557005001,Manufacturing,2347
3304557005001,Professional Service,1374
3304557005001,Public Administration,1404
3304557005001,Real Estate,32
3304557005001,Retail,4249
3304557005001,Transportation,7186
3304557005001,Wholesale,1794
3304557005002,Art/Culture,1323
3304557005002,Business Support,1185
3304557005002,Construction,383
3304557005002,Corporate,30
3304557005002,Education,3130
3304557005002,Financial,173
3304557005002,Health,4703
3304557005002,Hospitality,554
3304557005002,Information,841
3304557005002,Manufacturing,9
3304557005002,Professional Service,154
3304557005002,Public Administration,2315
3304557005002,Real Estate,13
3304557005002,Retail,2242
3304557005002,Transportation,183
3304557005003,Art/Culture,53
3304557005003,Business Support,354
3304557005003,Construction,757
3304557005003,Education,1138
3304557005003,Health,428
3304557005003,Hospitality,288
3304557005003,Manufacturing,6
3304557005003,Professional Service,30
3304557005003,Public Administration,38
3304557005003,Retail,216
3304557005003,Transportation,14
3304557005003,Wholesale,7
3304557005004,Art/Culture,20
3304557005004,Business Support,1016
3304557005004,Construction,370
3304557005004,Education,229
3304557005004,Health,72
3304557005004,Hospitality,45
3304557005004,Information,30
3304557005004,Manufacturing,314
3304557005004,Professional Service,127
3304557005004,Retail,841
3304557005004,Transportation,162
3304557005004,Wholesale,67
3304557005005,Construction,130
3304557005005,Education,158
3304557005005,Hospitality,34
3304557005005,Information,9
3304557005005,Manufacturing,123
3304557005005,Professional Service,19
3304557005005,Retail,258
3304557005005,Transportation,1326
3304557005005,Wholesale,23
3304557005006,Art/Culture,50
3304557005006,Business Support,207
3304557005006,Construction,319
3304557005006,Education,81
3304557005006,Health,30
3304557005006,Information,41
3304557005006,Manufacturing,112
3304557005006,Retail,864
3304557005006,Transportation,75
3304557005006,Wholesale,44
3304557005007,Art/Culture,13
3304557005007,Business Support,172
3304557005007,Construction,100
3304557005007,Education,287
3304557005007,Health,26
3304557005007,Hospitality,59
3304557005007,Information,11
3304557005007,Manufacturing,67
3304557005007,Professional Service,13
3304557005007,Retail,963
3304557005007,Wholesale,64
3304557005008,Art/Culture,46
3304557005008,Business Support,837
3304557005008,Construction,608
3304557005008,Education,224
3304557005008,Financial,1378
3304557005008,Health,167
3304557005008,Hospitality,102
3304557005008,Information,55
3304557005008,Manufacturing,59
3304557005008,Professional Service,378
3304557005008,Real Estate,20
3304557005008,Retail,750
3304557005008,Transportation,1773
3304557005008,Wholesale,249
3304557005009,Business Support,70
3304557005009,Construction,77
3304557005009,Education,178
3304557005009,Energy,85
3304557005009,Hospitality,120
3304557005009,Manufacturing,175
3304557005009,Professional Service,6
3304557005009,Retail,4248
3304557005009,Transportation,141
3304557005009,Wholesale,764
3304557005010,Business Support,343
3304557005010,Construction,36
3304557005010,Education,405
3304557005010,Financial,7
3304557005010,Health,64
3304557005010,Hospitality,329
3304557005010,Information,9
3304557005010,Manufacturing,570
3304557005010,Professional Service,9
3304557005010,Real Estate,12
3304557005010,Retail,559
3304557005010,Transportation,9
3304557005010,Wholesale,378
3304557005011,Art/Culture,14
3304557005011,Business Support,120
3304557005011,Construction,43
3304557005011,Education,217
3304557005011,Health,7
3304557005011,Hospitality,8
3304557005011,Manufacturing,458
3304557005011,Professional Service,7
3304557005011,Retail,316
3304557005011,Transportation,31
3304557005011,Wholesale,106
3304557005012,Business Support,45
3304557005012,Construction,73
3304557005012,Education,71
3304557005012,Financial,22
3304557005012,Hospitality,67
3304557005012,Manufacturing,2916
3304557005012,Retail,458
3304557005012,Transportation,157
3304557005012,Wholesale,15
3304557005013,Art/Culture,7
3304557005013,Business Support,1463
3304557005013,Construction,76
3304557005013,Education,350
3304557005013,Financial,45
3304557005013,Health,56
3304557005013,Hospitality,69
3304557005013,Information,29
3304557005013,Manufacturing,792
3304557005013,Professional Service,133
3304557005013,Retail,1311
3304557005013,Professional Service,12
3304557005013,Transportation,396
3304557005013,Wholesale,78
3304557005014,Business Support,220
3304557005014,Construction,897
3304557005014,Corporate,79
3304557005014,Education,542
3304557005014,Financial,293
3304557005014,Health,1813
3304557005014,Hospitality,297
3304557005014,Information,27
3304557005014,Manufacturing,268
3304557005014,Professional Service,99
3304557005014,Retail,3375
3304557005014,Transportation,337
3304557005014,Wholesale,403
3304557005015,Business Support,269
3304557005015,Construction,341
3304557005015,Education,38
3304557005015,Hospitality,16
3304557005015,Information,9
3304557005015,Manufacturing,237
3304557005015,Professional Service,22
3304557005015,Public Administration,108
3304557005015,Retail,220
3304557005015,Transportation,62
3304557005016,Art/Culture,15
3304557005016,Business Support,125
3304557005016,Construction,590
3304557005016,Education,658
3304557005016,Financial,119
3304557005016,Health,181
3304557005016,Hospitality,248
3304557005016,Information,10
3304557005016,Manufacturing,344
3304557005016,Professional Service,22
3304557005016,Retail,1183
3304557005016,Transportation,403
3304557005016,Wholesale,72
3304557005017,Business Support,70
3304557005017,Construction,254
3304557005017,Education,275
3304557005017,Hospitality,430
3304557005017,Information,107
3304557005017,Manufacturing,1098
3304557005017,Professional Service,29
3304557005017,Retail,618
3304557005017,Transportation,280
3304557005017,Wholesale,23
3304557005018,Art/Culture,94
3304557005018,Business Support,365
3304557005018,Construction,182
3304557005018,Education,1635
3304557005018,Financial,48
3304557005018,Health,206
3304557005018,Hospitality,44
3304557005018,Information,280
3304557005018,Manufacturing,135
3304557005018,Professional Service,66
3304557005018,Retail,662
3304557005018,Transportation,182
3304557005018,Wholesale,145
3304557005019,Art/Culture,15
3304557005019,Business Support,509
3304557005019,Construction,68
3304557005019,Education,470
3304557005019,Health,65
3304557005019,Hospitality,280
3304557005019,Information,76
3304557005019,Manufacturing,35
3304557005019,Professional Service,23
3304557005019,Retail,639
3304557005019,Transportation,29
3304557005019,Wholesale,57
3304557005020,Business Support,105
3304557005020,Construction,72
3304557005020,Education,353
3304557005020,Financial,23
3304557005020,Health,7
3304557005020,Information,69
3304557005020,Professional Service,14
3304557005020,Retail,142
3304557005020,Wholesale,123
3304557005021,Art/Culture,16
3304557005021,Business Support,606
3304557005021,Construction,270
3304557005021,Education,492
3304557005021,Health,27
3304557005021,Hospitality,358
3304557005021,Manufacturing,311
3304557005021,Professional Service,17
