geomid,mean_wage,median_wage,n_workers
872830006ffffff,70481.037,51496.0,1263
87283000effffff,57103.925,39351.0,989
872830012ffffff,58358.706,41128.0,4621
87283001affffff,72346.948,51496.0,1193
87283001cffffff,69657.343,51496.0,1314
872830020ffffff,54425.268,37467.0,2037
872830021ffffff,62323.953,43494.0,2203
872830023ffffff,66560.004,45284.0,234
872830024ffffff,56708.883,43587.0,1801
872830025ffffff,74426.64,55781.0,3076
872830026ffffff,66919.003,54708.0,382
872830028ffffff,75578.242,53525.0,495
87283002bffffff,78691.839,53646.0,6727
87283002cffffff,88907.339,65585.0,227
87283002effffff,54129.972,41197.0,181
872830030ffffff,69469.959,55881.0,603
872830043ffffff,90709.818,56319.5,856
87283004bffffff,100086.897,55848.0,562
87283004dffffff,77765.124,53646.0,2101
872830050ffffff,70824.152,47165.0,992
872830052ffffff,72260.938,49189.0,5784
872830053ffffff,72909.083,53525.0,2622
872830056ffffff,61030.967,44705.0,3835
872830058ffffff,82774.222,58675.0,144
87283005affffff,69280.031,50367.5,2096
87283005effffff,74262.55,53525.0,402
872830065ffffff,79262.923,53556.0,2383
872830080ffffff,64846.337,46346.0,1618
872830081ffffff,72730.015,57933.0,198
872830083ffffff,61956.575,43723.0,1122
872830084ffffff,54622.367,42820.0,1442
872830085ffffff,62011.034,45909.0,5535
872830086ffffff,61413.012,59735.0,173
87283008cffffff,74479.419,63481.0,265
872830094ffffff,63572.394,51496.0,3321
87283009effffff,78968.819,65585.0,2279
8728300a2ffffff,52773.923,43271.5,496
8728300a3ffffff,73696.491,56840.0,4593
8728300a5ffffff,67916.756,48406.0,4127
8728300b1ffffff,66314.343,53646.0,1258
8728300b3ffffff,57076.0,49777.0,70
8728300c9ffffff,69538.292,51187.0,1798
8728300e3ffffff,100986.391,64377.5,714
8728300e5ffffff,91286.769,62491.0,316
8728300e9ffffff,83999.908,57923.5,1960
8728300ecffffff,69080.132,49367.0,4270
8728300edffffff,70996.791,49189.0,5289
872830101ffffff,89163.194,60120.0,736
872830102ffffff,72784.943,53525.0,1463
872830108ffffff,52070.336,38687.5,440
87283010affffff,65015.252,49846.0,967
87283010bffffff,64233.477,51496.0,3409
87283010effffff,55454.063,43723.0,586
872830118ffffff,58729.498,41197.0,448
872830119ffffff,48911.222,50293.0,153
87283011cffffff,69262.882,50314.0,551
87283011dffffff,70099.167,61795.0,156
872830124ffffff,76181.607,55881.0,338
872830129ffffff,87142.343,63187.0,2044
87283012affffff,58617.809,51384.0,68
87283012bffffff,74480.393,51496.0,1049
87283012cffffff,70772.739,50602.5,924
87283012dffffff,81112.501,55666.0,921
872830130ffffff,69173.198,54654.0,1478
872830131ffffff,84864.168,55881.0,2733
872830132ffffff,69576.608,55881.0,189
872830133ffffff,75244.002,56854.5,2444
872830136ffffff,75485.815,53540.5,4166
872830152ffffff,57785.433,41537.0,3294
872830155ffffff,70200.228,53090.5,2508
872830156ffffff,65294.678,46346.0,3404
872830182ffffff,54102.324,39351.0,905
