geomid,mean_wage,median_wage,n_workers
88498648a1fffff,0.46,0.418,174.0
88498649b1fffff,0.41,0.377,22.0
88498649b7fffff,0.431,0.394,41.0
88498649c1fffff,0.407,0.365,257.0
88499516d9fffff,0.354,0.31,228.0
8849958001fffff,0.231,0.209,237.0
8849958003fffff,0.287,0.177,8.0
8849958005fffff,0.258,0.208,153.0
8849958009fffff,0.228,0.177,30.0
884995800dfffff,0.24,0.2,79.0
8849958013fffff,0.286,0.177,14.0
8849958019fffff,0.19,0.177,90.0
8849958021fffff,0.194,0.163,37.0
8849958027fffff,0.285,0.239,97.0
8849958043fffff,0.19,0.177,35.0
8849958061fffff,0.26,0.204,30.0
8849958067fffff,0.267,0.228,40.0
884995806dfffff,0.272,0.2,32.0
8849958085fffff,0.26,0.209,174.0
8849958087fffff,0.232,0.196,210.0
8849958089fffff,0.282,0.251,222.0
884995808bfffff,0.266,0.227,248.0
8849958091fffff,0.358,0.298,97.0
884995809bfffff,0.34,0.298,943.0
884995809dfffff,0.275,0.204,156.0
88499580a5fffff,0.282,0.225,191.0
88499580a7fffff,0.311,0.239,48.0
88499580adfffff,0.266,0.224,34.0
88499580b9fffff,0.294,0.224,37.0
88499580d3fffff,0.32,0.268,334.0
88499580d7fffff,0.334,0.289,125.0
88499580d9fffff,0.283,0.239,57.0
88499580dbfffff,0.312,0.267,292.0
88499580edfffff,0.264,0.214,113.0
8849958113fffff,0.263,0.228,32.0
8849958117fffff,0.247,0.187,27.0
884995811bfffff,0.259,0.227,46.0
8849958133fffff,0.414,0.239,20.0
8849958135fffff,0.259,0.187,166.0
8849958183fffff,0.292,0.251,249.0
8849958189fffff,0.306,0.253,234.0
8849958191fffff,0.299,0.262,136.0
8849958193fffff,0.292,0.262,252.0
8849958195fffff,0.296,0.265,780.0
8849958199fffff,0.277,0.237,167.0
884995819dfffff,0.262,0.251,399.0
88499581a3fffff,0.293,0.239,155.0
88499581b1fffff,0.295,0.25,83.0
88499581b3fffff,0.277,0.239,132.0
88499581b9fffff,0.286,0.246,110.0
88499581bbfffff,0.302,0.267,302.0
88499581c1fffff,0.275,0.228,354.0
88499581c7fffff,0.276,0.239,217.0
88499581d1fffff,0.253,0.224,53.0
88499581d3fffff,0.31,0.244,110.0
88499581d5fffff,0.348,0.251,110.0
88499581d7fffff,0.27,0.251,180.0
88499581dbfffff,0.253,0.227,42.0
88499581ddfffff,0.265,0.237,31.0
8849958259fffff,0.357,0.298,27.0
8849958281fffff,0.328,0.224,86.0
8849958283fffff,0.341,0.305,27.0
8849958285fffff,0.282,0.211,30.0
8849958295fffff,0.283,0.264,26.0
884995829bfffff,0.274,0.161,20.0
88499582a5fffff,0.309,0.379,13.0
88499582a7fffff,0.287,0.237,86.0
88499582a9fffff,0.245,0.174,81.0
88499582abfffff,0.294,0.237,60.0
88499582b3fffff,0.347,0.319,67.0
88499582bbfffff,0.325,0.309,43.0
88499582e1fffff,0.266,0.174,68.0
88499582e3fffff,0.361,0.237,34.0
8849958305fffff,0.327,0.265,1410.0
8849958333fffff,0.257,0.2,29.0
8849958401fffff,0.463,0.461,856.0
8849958403fffff,0.462,0.444,1639.0
8849958405fffff,0.428,0.434,919.0
8849958407fffff,0.453,0.43,1031.0
8849958409fffff,0.449,0.399,720.0
884995840bfffff,0.443,0.443,597.0
884995840dfffff,0.463,0.444,610.0
8849958411fffff,0.481,0.48,599.0
8849958415fffff,0.474,0.463,1256.0
8849958419fffff,0.506,0.473,1520.0
884995841bfffff,0.463,0.411,489.0
884995841dfffff,0.454,0.409,908.0
8849958421fffff,0.466,0.473,742.0
8849958423fffff,0.446,0.421,1770.0
8849958425fffff,0.477,0.509,791.0
8849958427fffff,0.467,0.473,992.0
8849958429fffff,0.463,0.466,1211.0
884995842dfffff,0.456,0.454,729.0
8849958431fffff,0.42,0.387,684.0
8849958433fffff,0.459,0.442,1019.0
8849958435fffff,0.447,0.399,701.0
8849958437fffff,0.441,0.393,871.0
8849958439fffff,0.462,0.444,1191.0
884995843dfffff,0.443,0.399,775.0
8849958441fffff,0.429,0.345,460.0
8849958443fffff,0.464,0.462,1125.0
8849958445fffff,0.423,0.378,404.0
8849958447fffff,0.463,0.444,467.0
8849958449fffff,0.395,0.344,244.0
884995844bfffff,0.428,0.388,475.0
8849958451fffff,0.458,0.444,889.0
8849958455fffff,0.461,0.439,580.0
8849958457fffff,0.443,0.421,536.0
8849958459fffff,0.438,0.393,571.0
884995845bfffff,0.45,0.408,467.0
884995845dfffff,0.426,0.382,670.0
8849958463fffff,0.458,0.447,580.0
8849958465fffff,0.454,0.473,722.0
8849958467fffff,0.454,0.452,448.0
8849958469fffff,0.486,0.498,322.0
884995846bfffff,0.495,0.482,1029.0
884995846dfffff,0.438,0.452,559.0
8849958481fffff,0.507,0.525,787.0
8849958485fffff,0.495,0.466,1293.0
8849958487fffff,0.524,0.509,451.0
8849958489fffff,0.515,0.509,832.0
884995848bfffff,0.529,0.583,1017.0
884995848dfffff,0.491,0.454,1036.0
8849958491fffff,0.489,0.434,237.0
8849958493fffff,0.476,0.424,526.0
8849958495fffff,0.5,0.49,1208.0
8849958497fffff,0.481,0.467,462.0
8849958499fffff,0.504,0.466,675.0
884995849bfffff,0.484,0.43,427.0
884995849dfffff,0.515,0.502,1745.0
88499584a1fffff,0.516,0.547,574.0
88499584a3fffff,0.507,0.488,1252.0
88499584a5fffff,0.514,0.521,629.0
88499584a7fffff,0.506,0.487,1084.0
88499584a9fffff,0.492,0.466,954.0
88499584abfffff,0.496,0.475,1378.0
88499584adfffff,0.5,0.496,991.0
88499584b1fffff,0.509,0.502,1153.0
88499584b3fffff,0.471,0.424,806.0
88499584b5fffff,0.516,0.502,1429.0
88499584b7fffff,0.497,0.49,1166.0
88499584b9fffff,0.513,0.496,757.0
88499584bbfffff,0.49,0.471,1513.0
88499584bdfffff,0.52,0.502,978.0
88499584c1fffff,0.538,0.529,682.0
88499584c3fffff,0.485,0.443,398.0
88499584cbfffff,0.536,0.466,346.0
88499584d3fffff,0.537,0.518,975.0
88499584d5fffff,0.531,0.531,564.0
88499584d9fffff,0.528,0.518,370.0
88499584ddfffff,0.54,0.538,631.0
88499584e3fffff,0.503,0.488,471.0
88499584e5fffff,0.444,0.393,732.0
88499584e7fffff,0.503,0.529,619.0
88499584ebfffff,0.464,0.452,2691.0
8849958503fffff,0.354,0.299,877.0
8849958509fffff,0.383,0.304,40.0
884995850bfffff,0.432,0.443,627.0
8849958511fffff,0.46,0.448,600.0
8849958515fffff,0.449,0.454,703.0
8849958517fffff,0.434,0.41,1191.0
8849958519fffff,0.456,0.455,803.0
884995851bfffff,0.451,0.452,1235.0
884995851dfffff,0.434,0.443,967.0
8849958521fffff,0.341,0.305,471.0
8849958523fffff,0.378,0.364,536.0
8849958525fffff,0.333,0.3,972.0
8849958527fffff,0.346,0.302,1045.0
8849958529fffff,0.359,0.305,416.0
884995852bfffff,0.341,0.3,511.0
884995852dfffff,0.313,0.299,451.0
8849958531fffff,0.431,0.434,497.0
8849958533fffff,0.402,0.364,570.0
8849958535fffff,0.396,0.375,592.0
8849958537fffff,0.403,0.366,481.0
8849958539fffff,0.421,0.41,505.0
884995853bfffff,0.435,0.455,558.0
884995853dfffff,0.419,0.405,583.0
8849958541fffff,0.352,0.301,1104.0
8849958545fffff,0.336,0.291,910.0
8849958549fffff,0.345,0.298,520.0
884995854bfffff,0.433,0.444,314.0
884995854dfffff,0.344,0.294,202.0
8849958551fffff,0.465,0.465,581.0
8849958553fffff,0.485,0.482,821.0
8849958555fffff,0.474,0.529,163.0
8849958557fffff,0.461,0.473,759.0
8849958559fffff,0.434,0.443,580.0
884995855bfffff,0.485,0.473,1181.0
884995855dfffff,0.456,0.473,545.0
8849958567fffff,0.339,0.3,236.0
8849958581fffff,0.497,0.545,498.0
8849958583fffff,0.477,0.466,1203.0
8849958585fffff,0.474,0.476,607.0
8849958587fffff,0.486,0.476,593.0
8849958589fffff,0.464,0.455,391.0
884995858dfffff,0.494,0.545,492.0
8849958591fffff,0.486,0.491,788.0
8849958593fffff,0.5,0.474,1955.0
8849958595fffff,0.503,0.545,1173.0
8849958597fffff,0.52,0.548,964.0
8849958599fffff,0.511,0.545,642.0
884995859bfffff,0.514,0.545,1421.0
884995859dfffff,0.499,0.545,606.0
88499585a1fffff,0.416,0.385,736.0
88499585a3fffff,0.424,0.408,722.0
88499585a5fffff,0.368,0.34,630.0
88499585a7fffff,0.412,0.389,613.0
88499585a9fffff,0.426,0.39,778.0
88499585abfffff,0.437,0.409,692.0
88499585adfffff,0.427,0.362,614.0
88499585b1fffff,0.455,0.409,720.0
88499585b3fffff,0.482,0.482,904.0
88499585b5fffff,0.42,0.395,708.0
88499585b7fffff,0.463,0.409,605.0
88499585b9fffff,0.503,0.535,635.0
88499585bbfffff,0.501,0.525,1536.0
88499585bdfffff,0.459,0.445,408.0
88499585c1fffff,0.462,0.459,693.0
88499585c3fffff,0.487,0.476,756.0
88499585c5fffff,0.469,0.454,809.0
88499585c7fffff,0.485,0.476,588.0
88499585c9fffff,0.465,0.46,492.0
88499585cbfffff,0.46,0.403,690.0
88499585cdfffff,0.473,0.488,772.0
88499585d1fffff,0.49,0.518,586.0
88499585d3fffff,0.474,0.444,730.0
88499585d5fffff,0.475,0.466,1463.0
88499585d7fffff,0.495,0.529,863.0
88499585d9fffff,0.454,0.417,925.0
88499585dbfffff,0.491,0.529,562.0
88499585ddfffff,0.459,0.421,616.0
88499585e1fffff,0.416,0.384,503.0
88499585e3fffff,0.436,0.387,559.0
88499585e5fffff,0.396,0.354,621.0
88499585e7fffff,0.396,0.354,575.0
88499585e9fffff,0.435,0.434,608.0
88499585ebfffff,0.454,0.443,678.0
