geomid,mean_wage,median_wage,n_workers
87291248effffff,76933.283,52526.0,237
87291249bffffff,89484.622,63704.0,119
8729124c3ffffff,38034.902,28317.5,1160
8729124c8ffffff,45450.878,30897.0,11330
8729124c9ffffff,55149.24,41197.0,2977
8729124caffffff,62389.452,41537.0,11612
8729124cbffffff,55835.671,35764.0,1519
8729124ccffffff,47222.273,32792.0,4216
8729124cdffffff,51278.024,38004.0,1925
8729124ceffffff,52948.195,39137.0,513
8729124d0ffffff,57717.931,38258.0,8929
8729124dbffffff,65453.359,35943.0,960
8729124eaffffff,47618.69,41197.0,477
8729124ebffffff,51963.153,38258.0,1174
872912791ffffff,62882.193,42125.0,9747
872912792ffffff,55598.398,39351.0,1634
872912793ffffff,58340.503,41352.0,4309
872912794ffffff,47195.321,31443.0,1808
872912796ffffff,55046.286,37999.0,1742
872912798ffffff,58124.632,38828.0,672
87291279cffffff,55223.724,33528.0,1348
87291279dffffff,62372.612,41197.0,2266
87291279effffff,63163.707,46032.0,5210
8729127b2ffffff,57610.664,41197.0,871
8729127b6ffffff,54144.784,36183.0,839
8729a0000ffffff,51702.331,37753.0,562
8729a0002ffffff,55069.173,40234.0,677
8729a0004ffffff,49110.722,38965.0,2956
8729a0006ffffff,52099.518,39586.0,558
8729a0009ffffff,49405.874,35806.0,2839
8729a000bffffff,60861.244,40092.5,864
8729a0018ffffff,68205.722,47986.0,533
8729a001affffff,69499.182,51496.0,2124
8729a0022ffffff,53769.803,38258.0,1665
8729a0023ffffff,45800.421,33528.0,6014
8729a0024ffffff,52758.712,37467.0,4528
8729a0025ffffff,58085.033,31593.0,121
8729a0026ffffff,54685.448,45472.0,297
8729a0028ffffff,55534.012,39897.0,1076
8729a0029ffffff,52175.388,34978.0,8075
8729a002affffff,61478.33,44961.0,1107
8729a002bffffff,53959.1,38258.0,939
8729a002cffffff,65027.908,51496.0,1441
8729a002dffffff,73114.046,49189.0,197
8729a002effffff,52670.93,38107.0,4842
8729a0030ffffff,44798.762,33603.0,1286
8729a0031ffffff,46581.148,35652.0,1273
8729a0033ffffff,44413.412,32115.0,308
8729a0034ffffff,62326.123,43723.0,3534
8729a0035ffffff,53100.018,42125.0,2018
8729a0040ffffff,51416.854,39351.0,2115
8729a0042ffffff,59200.789,41352.0,871
8729a0043ffffff,60308.312,42820.0,4789
8729a0045ffffff,50563.222,35205.0,663
8729a0046ffffff,46805.201,34432.0,2506
8729a0048ffffff,49380.72,37342.0,2620
8729a0049ffffff,52043.487,35017.0,195
8729a004affffff,56165.044,37912.0,3287
8729a004bffffff,51465.331,38107.0,2601
8729a004cffffff,52128.484,39117.0,9125
8729a004effffff,52073.142,36859.0,4278
8729a0051ffffff,60312.283,44546.0,5084
8729a0052ffffff,48897.478,37077.0,2691
8729a0053ffffff,52528.105,39117.0,1310
8729a0055ffffff,53566.135,38107.0,4509
8729a0056ffffff,60868.59,43609.0,1225
8729a0058ffffff,50449.678,37180.0,2250
8729a0059ffffff,49462.291,39117.0,2123
8729a005affffff,55573.288,38398.0,2072
8729a005bffffff,51099.129,41197.0,418
8729a005cffffff,47749.225,32957.0,1168
8729a005dffffff,51354.725,38258.0,1055
8729a005effffff,56024.062,40018.0,2825
8729a0060ffffff,50083.684,38538.0,393
8729a0061ffffff,54469.11,41197.0,661
8729a0062ffffff,55652.13,39117.0,1024
8729a0063ffffff,48100.682,32792.0,701
8729a0064ffffff,55684.053,42125.0,3954
8729a0065ffffff,46449.089,34256.0,1599
8729a0066ffffff,43708.409,31593.0,301
8729a0068ffffff,55241.146,38966.0,1233
8729a006affffff,51485.788,40238.0,326
8729a006cffffff,56901.341,42820.0,1890
8729a006dffffff,54013.737,40234.0,2781
8729a0070ffffff,57097.772,43256.0,2992
8729a0071ffffff,49649.239,37467.0,4572
8729a0074ffffff,54118.758,37467.0,14306
8729a0075ffffff,68992.313,47074.0,664
8729a0076ffffff,55495.431,39137.0,15592
8729a0083ffffff,54365.244,42125.0,994
8729a0084ffffff,64517.505,42469.0,275
8729a0085ffffff,42033.424,27940.0,1301
8729a0086ffffff,59883.345,39117.0,853
8729a0089ffffff,61383.242,44231.0,401
8729a008dffffff,58207.28,42125.0,842
8729a00a1ffffff,58771.846,43723.0,570
8729a00a3ffffff,65863.635,43723.0,1285
8729a00a6ffffff,51997.271,42820.0,446
8729a00a8ffffff,71490.68,50293.0,643
8729a00a9ffffff,59042.728,42725.0,2068
8729a00aaffffff,46999.23,36047.0,985
8729a00abffffff,70602.291,42820.0,337
8729a00adffffff,67502.768,51496.0,263
8729a00b0ffffff,65144.307,57933.0,270
8729a00b1ffffff,56435.379,43059.0,1154
8729a00b2ffffff,80434.115,61460.5,244
8729a00b3ffffff,62868.293,44297.5,588
8729a00b5ffffff,56302.939,42820.0,1054
8729a00c0ffffff,49118.157,34126.5,1434
8729a00c1ffffff,60254.006,38538.0,497
8729a00c2ffffff,58178.79,42019.0,2165
8729a00c3ffffff,54461.101,36932.0,672
8729a00c4ffffff,50984.757,34978.0,6400
8729a00c5ffffff,53575.071,36859.0,4735
8729a00c6ffffff,55675.385,38258.0,1401
8729a00c8ffffff,40516.841,28837.0,1250
8729a00c9ffffff,43301.725,29487.0,4731
8729a00ccffffff,50434.204,33528.0,1458
8729a00cdffffff,45251.388,34898.0,596
8729a00ceffffff,46804.016,36222.0,384
8729a00d4ffffff,46966.314,34753.0,999
8729a00d5ffffff,48807.102,34436.5,1934
8729a00d6ffffff,49539.604,35673.0,288
8729a00daffffff,52550.739,32299.0,609
8729a00e0ffffff,52783.412,38538.0,9838
8729a00e1ffffff,48474.64,32957.0,11036
8729a00e3ffffff,46094.438,33935.0,3198
8729a00e4ffffff,64566.008,46902.0,10478
8729a00e5ffffff,57710.01,39041.5,4180
8729a00e6ffffff,62833.124,44706.0,3374
8729a00e8ffffff,59943.561,45833.0,2230
8729a00e9ffffff,48828.499,32792.0,1084
8729a00eaffffff,51073.617,36546.0,3651
8729a00ebffffff,48015.793,35540.0,1274
8729a00ecffffff,49942.652,37467.0,3412
8729a00edffffff,54299.314,39343.0,1005
8729a00eeffffff,57759.461,42125.0,14568
8729a00f0ffffff,68552.767,53097.0,853
8729a00f3ffffff,54427.258,43723.0,1415
8729a00f4ffffff,58371.749,38538.0,6192
8729a00f5ffffff,53308.602,37602.0,13063
8729a00f6ffffff,57295.832,40679.0,2148
8729a0100ffffff,57051.992,42125.0,768
8729a0101ffffff,50847.559,41367.0,324
8729a0102ffffff,47175.614,38258.0,1290
8729a0104ffffff,56252.705,39479.5,972
8729a0106ffffff,56492.758,40018.0,2723
8729a0109ffffff,58194.385,42125.0,507
8729a010affffff,43774.954,35841.0,1011
8729a0110ffffff,48227.544,35764.0,274
8729a0111ffffff,51024.474,39460.0,365
8729a0114ffffff,45204.592,28434.0,993
8729a0118ffffff,46224.323,35017.0,3514
8729a0119ffffff,46788.986,34978.0,4760
8729a011affffff,45529.688,31593.0,2484
8729a011bffffff,43209.899,32115.0,653
8729a011cffffff,49303.123,36074.0,6372
8729a011effffff,35288.464,25844.5,28
8729a0126ffffff,52051.84,37912.0,939
8729a0128ffffff,48747.497,37467.0,330
8729a0133ffffff,56920.263,42125.0,171
8729a0134ffffff,72946.795,73763.0,112
8729a0135ffffff,49441.399,40303.5,770
8729a0136ffffff,54474.397,37077.0,1163
8729a0141ffffff,60576.437,42125.0,526
8729a0143ffffff,52926.021,44231.0,575
8729a0145ffffff,68255.084,44705.0,358
8729a0148ffffff,55943.704,39808.0,3522
8729a0149ffffff,50533.493,32792.0,1195
8729a014affffff,53056.563,37467.0,1013
8729a014bffffff,53933.272,38538.0,1440
8729a014cffffff,58180.049,41444.5,5648
8729a014dffffff,49841.113,34978.0,1770
8729a014effffff,54045.817,37077.0,5176
8729a0150ffffff,48298.894,34311.0,817
8729a0151ffffff,63349.443,51384.0,203
8729a0152ffffff,48642.866,39137.0,1370
8729a0153ffffff,66536.127,50313.5,118
8729a0155ffffff,56654.43,41336.5,754
8729a0156ffffff,51814.617,36356.0,1148
8729a0158ffffff,53910.923,40881.0,1777
8729a0159ffffff,61791.21,42469.0,2499
8729a015affffff,62744.906,43723.0,383
8729a015bffffff,54250.921,37904.0,7388
8729a015dffffff,52441.526,37077.0,10647
8729a015effffff,80355.788,42297.0,354
8729a0169ffffff,52410.148,39137.0,3859
8729a016affffff,52253.524,38258.0,830
8729a016bffffff,58888.002,40976.5,3066
8729a016cffffff,51368.262,38210.0,2521
8729a0171ffffff,57168.515,41197.0,474
8729a0173ffffff,74832.037,57807.0,294
8729a0189ffffff,58144.746,47767.5,118
8729a0192ffffff,53188.585,38258.0,1495
8729a019cffffff,55271.501,39608.0,513
8729a01a6ffffff,58083.834,44705.0,511
8729a01a9ffffff,69181.265,45814.0,136
8729a01aaffffff,48723.066,33528.0,1020
8729a01adffffff,56742.739,43587.0,203
8729a01b4ffffff,47773.593,42125.0,415
8729a0233ffffff,50199.567,39351.0,289
8729a0280ffffff,56601.121,40679.0,749
8729a028affffff,60871.115,42820.0,235
8729a0291ffffff,53229.567,35962.0,531
8729a0292ffffff,49092.064,36047.0,1118
8729a0293ffffff,47991.968,33528.0,554
8729a0296ffffff,65303.901,43723.0,191
8729a029affffff,56357.146,33448.0,1442
8729a029cffffff,43733.635,33528.0,1031
8729a02c1ffffff,44945.221,31888.0,95
8729a02d5ffffff,53970.762,49189.0,63
8729a02deffffff,53066.504,53525.0,141
8729a02e3ffffff,54011.745,40018.0,51
8729a02e4ffffff,50410.849,36727.0,305
8729a02f0ffffff,48902.028,38965.0,989
8729a0300ffffff,62531.745,44705.0,2893
8729a0301ffffff,63444.638,42820.0,1181
8729a0302ffffff,40670.439,29236.5,4616
8729a0303ffffff,73891.269,53525.0,635
8729a0304ffffff,58764.437,43723.0,3583
8729a0305ffffff,59027.814,42812.5,1466
8729a0306ffffff,56514.136,39608.0,2691
8729a030cffffff,67253.362,43723.0,968
8729a030dffffff,76647.389,54540.0,211
8729a030effffff,140879.088,102094.0,193
8729a0310ffffff,69325.22,54654.0,449
8729a0311ffffff,68987.414,50293.0,157
8729a0313ffffff,47430.992,31593.0,127
8729a0314ffffff,51547.64,33956.5,694
8729a0315ffffff,62608.911,42820.0,2102
8729a0316ffffff,51775.611,39041.5,1582
8729a031cffffff,47836.309,29058.0,356
8729a0320ffffff,52568.207,37467.0,7971
8729a0321ffffff,57403.368,42630.0,1941
8729a0322ffffff,58608.761,42820.0,4641
8729a0323ffffff,49863.609,34399.0,2033
8729a0324ffffff,56713.759,41197.0,13184
8729a0325ffffff,54876.523,40631.5,998
8729a0328ffffff,60701.296,44760.5,2718
8729a0329ffffff,61777.809,46237.0,2183
8729a032affffff,58910.831,41443.5,1978
8729a032bffffff,73055.941,44816.0,493
8729a032cffffff,58596.465,42820.0,2979
8729a032dffffff,55316.121,38965.0,6429
8729a032effffff,69315.508,49189.0,4949
8729a0331ffffff,61370.72,43723.0,16633
8729a0333ffffff,48593.769,35326.0,7727
8729a0335ffffff,51681.771,36047.0,9681
8729a0336ffffff,51613.807,38538.0,11824
8729a0360ffffff,58212.773,42820.0,925
8729a0364ffffff,66681.695,46604.5,1066
8729a0366ffffff,58562.743,42125.0,1387
8729a036cffffff,72688.213,54150.0,408
8729a0370ffffff,65666.862,42297.0,298
8729a0374ffffff,78084.66,64230.0,238
8729a0376ffffff,88843.058,79404.0,52
8729a0382ffffff,61083.618,47002.0,335
8729a0394ffffff,55749.623,37077.0,811
8729a03a0ffffff,47330.504,33528.0,804
8729a03a1ffffff,55770.332,43489.5,400
8729a03a2ffffff,52236.585,39479.5,3932
8729a03a4ffffff,52503.89,36047.0,819
8729a03a5ffffff,52565.84,38258.0,1347
8729a03b1ffffff,51546.773,38258.0,2444
8729a03b2ffffff,61982.926,38258.0,1072
8729a03b4ffffff,64900.973,40444.0,525
8729a03b5ffffff,55393.793,40679.0,579
8729a03b6ffffff,55847.177,42841.0,538
8729a04ebffffff,49216.636,32792.0,66
8729a0540ffffff,47127.114,36032.0,184
8729a0549ffffff,79461.932,50421.5,514
8729a0561ffffff,54368.463,41749.0,1407
8729a0562ffffff,47723.376,36859.0,1216
8729a0563ffffff,65406.433,48533.0,1202
8729a0568ffffff,65089.546,40679.0,711
8729a0569ffffff,64655.196,46746.0,628
8729a056affffff,59777.863,44705.0,233
8729a056cffffff,46218.638,32411.0,514
8729a056dffffff,44235.743,30176.0,315
8729a0571ffffff,56400.805,39117.0,745
8729a0575ffffff,58411.482,45284.0,815
8729a060cffffff,44369.818,40545.0,258
8729a0640ffffff,58419.987,34938.0,678
8729a0643ffffff,38718.829,26328.0,2237
8729a0644ffffff,50692.234,38965.0,197
8729a0645ffffff,55185.575,42820.0,1938
8729a0646ffffff,57258.452,35278.5,208
8729a0649ffffff,50170.815,33700.0,3466
8729a064bffffff,52060.661,35326.0,3078
8729a064cffffff,54572.563,39351.0,3637
8729a064dffffff,45602.605,33185.0,1381
8729a064effffff,56306.239,39117.0,394
8729a0651ffffff,56982.576,39351.0,323
8729a0652ffffff,48071.087,38538.0,1281
8729a0655ffffff,52718.53,38258.0,472
8729a0658ffffff,47605.952,33528.0,623
8729a0659ffffff,59726.904,43723.0,708
8729a065affffff,52713.963,32021.0,694
8729a065bffffff,56832.621,40444.0,803
8729a065cffffff,50682.984,37467.0,936
8729a065dffffff,53932.568,39024.0,324
8729a0660ffffff,59433.838,42820.0,265
8729a0661ffffff,51892.05,37165.0,723
8729a0662ffffff,43297.492,37077.0,195
8729a0663ffffff,47942.308,34978.0,1655
