geomid,mean_wage,median_wage,n_workers
3304557005001,1535.065,944.573,3630.0
3304557005002,2610.813,2282.125,2127.0
3304557005003,2535.793,2251.791,1392.0
3304557005004,912.488,724.758,1103.0
3304557005005,831.503,535.773,991.0
3304557005006,815.873,535.773,1086.0
3304557005007,773.807,535.773,1127.0
3304557005008,801.602,535.773,1971.0
3304557005009,790.369,535.773,1237.0
3304557005010,811.518,569.342,1252.0
3304557005011,699.528,521.81,1175.0
3304557005012,877.077,548.948,973.0
3304557005013,820.436,589.366,1107.0
3304557005014,822.687,569.342,1062.0
3304557005015,803.679,535.773,954.0
3304557005016,847.942,581.51,1218.0
3304557005017,764.955,520.332,1259.0
3304557005018,807.159,581.51,1234.0
3304557005019,787.988,614.608,1043.0
3304557005020,891.038,581.51,801.0
3304557005021,980.641,560.923,1250.0
3304557005022,1140.075,560.923,1329.0
3304557005023,924.793,563.654,1761.0
3304557005024,1173.322,588.837,1377.0
3304557005025,2298.622,1368.8,641.0
3304557005026,2061.687,999.263,846.0
3304557005027,1254.589,931.346,1013.0
3304557005028,1077.825,810.804,674.0
3304557005029,994.975,782.522,1041.0
3304557005030,2390.802,2251.791,2605.0
3304557005031,1089.653,594.88,846.0
3304557005032,1012.443,508.275,579.0
3304557005033,1155.187,505.859,888.0
3304557005034,1247.954,734.309,1424.0
3304557005035,2626.642,2282.125,2150.0
3304557005036,2723.808,2282.125,1820.0
3304557005037,2927.707,3205.161,2485.0
3304557005038,2873.992,3205.161,1729.0
3304557005039,2599.699,2282.125,1566.0
3304557005040,2874.802,3574.869,801.0
3304557005041,2640.719,2251.791,1883.0
3304557005042,2903.555,3205.161,1002.0
3304557005043,2778.823,2857.09,1795.0
3304557005044,2975.657,3205.161,969.0
3304557005045,2891.312,3205.161,1659.0
3304557005046,2695.136,2400.526,1841.0
3304557005047,3237.292,3238.008,4390.0
3304557005048,3231.839,2857.09,2245.0
3304557005049,3052.575,2740.749,1341.0
3304557005050,3236.635,3238.008,1638.0
3304557005051,3080.099,2571.363,2768.0
3304557005052,2467.637,2282.125,1750.0
3304557005053,1962.346,1270.288,17299.0
3304557005054,1929.068,1299.886,1539.0
3304557005055,2244.918,1936.365,1429.0
3304557005056,1971.97,1427.226,1976.0
3304557005057,2231.928,2059.022,872.0
3304557005058,1998.757,1512.869,2695.0
3304557005059,2047.002,1916.789,1320.0
3304557005060,2404.553,2059.022,2383.0
3304557005061,2260.232,1936.365,1431.0
3304557005062,2047.635,1865.725,1935.0
3304557005063,1809.332,1427.226,652.0
3304557005064,1981.793,1916.789,2493.0
3304557005065,2129.768,1916.789,1043.0
3304557005066,2002.844,1916.789,1966.0
3304557005067,2052.93,1916.789,1999.0
3304557005068,1377.056,928.034,1396.0
3304557005069,1148.027,1015.42,1407.0
3304557005070,1332.572,970.616,3023.0
3304557005071,1214.3,944.573,930.0
3304557005072,1250.927,1015.42,1534.0
3304557005073,963.494,897.452,459.0
3304557005074,1215.432,982.436,2739.0
3304557005075,1227.671,944.573,2820.0
3304557005076,1954.97,1427.226,2270.0
3304557005077,1192.486,944.573,1036.0
3304557005078,1006.009,887.185,947.0
3304557005079,1031.814,734.309,1246.0
3304557005080,1065.637,819.97,1263.0
3304557005081,983.077,734.309,1380.0
3304557005082,984.579,819.97,1190.0
3304557005083,1288.449,1080.138,3518.0
3304557005084,1175.468,897.452,1853.0
3304557005085,1131.409,982.436,868.0
3304557005086,1267.242,944.573,710.0
3304557005087,1524.335,1122.906,2592.0
3304557005088,1826.36,1200.743,3064.0
3304557005089,1644.029,1195.929,1549.0
3304557005090,1684.878,1256.581,1124.0
3304557005091,1620.253,1256.581,2120.0
3304557005092,1666.661,1179.1,1549.0
3304557005093,1599.222,1195.929,1468.0
3304557005094,1365.779,1122.906,2439.0
3304557005095,1398.891,1179.1,2436.0
3304557005096,1375.584,1113.715,1388.0
3304557005097,1276.868,975.716,1481.0
3304557005098,1212.842,975.716,1255.0
3304557005099,1558.989,943.84,4168.0
3304557005100,1341.566,975.716,1412.0
3304557005101,1164.681,887.185,1389.0
3304557005102,1114.902,944.573,1249.0
3304557005103,1120.885,846.459,1568.0
3304557005104,1209.66,981.048,1065.0
3304557005105,1106.037,981.048,1019.0
3304557005106,1077.462,846.459,1093.0
3304557005107,1204.06,987.668,1075.0
3304557005108,1183.129,974.423,1420.0
3304557005109,1158.579,887.185,759.0
3304557005110,1148.96,974.423,2699.0
3304557005111,1096.271,815.672,903.0
3304557005112,1205.961,897.452,997.0
3304557005113,1019.937,846.459,1709.0
3304557005114,1030.328,755.406,812.0
3304557005115,1542.274,974.423,2389.0
3304557005116,1176.03,984.926,1670.0
3304557005117,1147.603,974.423,1866.0
3304557005118,1094.909,799.551,1970.0
3304557005119,1392.887,1233.104,1568.0
3304557005120,1308.719,999.263,980.0
3304557005121,1687.173,1233.104,2100.0
3304557005122,1380.136,1014.333,952.0
3304557005123,1302.524,999.263,1011.0
3304557005124,1559.691,999.263,2087.0
3304557005125,1622.725,1233.104,767.0
3304557005126,1290.349,1007.192,78.0
3304557005127,969.457,674.1,1857.0
3304557005128,922.949,741.407,699.0
3304557005129,1082.651,669.719,954.0
3304557005130,1017.383,810.804,938.0
3304557005131,945.65,724.758,695.0
3304557005132,1007.704,682.697,1143.0
3304557005133,1015.318,670.832,1505.0
3304557005134,968.129,670.832,1460.0
3304557005135,1230.645,657.547,1466.0
3304557005136,965.384,657.547,1128.0
3304557005137,1005.998,669.719,1014.0
3304557005138,1535.482,1293.318,890.0
3304557005139,1443.238,1236.251,1024.0
3304557005140,1723.864,1200.743,4295.0
3304557005141,1845.982,1368.8,2927.0
3304557005142,1404.283,986.377,2730.0
3304557005143,1729.665,1577.422,3269.0
3304557005144,2116.613,1300.121,1510.0
3304557005145,1447.051,1084.754,1288.0
3304557005146,1421.787,881.397,1868.0
3304557005147,1791.226,1629.422,4615.0
3304557005148,1593.188,1293.318,2003.0
3304557005149,1633.624,1293.318,2432.0
3304557005150,1509.772,1236.251,2355.0
3304557005151,1377.459,1080.138,2825.0
3304557005152,1313.167,1080.138,2668.0
3304557005153,1419.092,1080.138,2043.0
3304557005154,1299.819,986.377,1541.0
3304557005155,1311.826,1017.815,1007.0
3304557005156,1307.827,1017.815,2052.0
3304557005157,1886.897,1368.8,2886.0
3304557005158,2909.097,2251.791,3089.0
3304557005159,2393.904,1557.592,12114.0
3304557005160,2934.505,1901.994,1988.0
3304557005161,2831.204,1936.365,3194.0
3304557005162,2920.807,2059.022,3813.0
3304557005163,2708.908,2282.125,1747.0
3304557005164,2808.967,3205.161,1182.0
3304557005165,1609.579,928.034,2969.0
3304557005166,2089.73,1901.994,4811.0
3304557005167,2327.253,2251.791,3171.0
3304557005168,2055.906,2251.791,2846.0
3304557005169,1208.74,944.573,2572.0
3304557005170,1018.106,815.672,881.0
3304557005171,911.382,724.758,1228.0
3304557005172,1006.88,767.293,1516.0
3304557005173,1006.936,806.897,1036.0
3304557005174,1024.229,799.551,635.0
3304557005175,965.377,750.268,730.0
3304557005176,1027.326,865.583,1395.0
3304557005177,944.902,724.758,1125.0
3304557005178,986.248,767.293,1349.0
3304557005179,770.87,558.38,1384.0
3304557005180,831.944,570.134,1931.0
3304557005181,836.623,648.063,971.0
3304557005182,869.157,663.044,783.0
3304557005183,891.69,734.997,1614.0
3304557005184,988.997,750.268,2568.0
3304557005185,882.186,686.447,941.0
3304557005186,881.963,648.063,954.0
3304557005187,868.404,734.997,1344.0
3304557005188,845.232,648.063,1091.0
3304557005189,858.872,614.392,1437.0
3304557005190,991.024,588.837,1458.0
3304557005191,971.477,863.002,1497.0
3304557005192,938.323,863.002,1197.0
3304557005193,856.377,704.978,1573.0
3304557005194,941.692,792.202,1502.0
3304557005195,1070.416,865.583,1420.0
3304557005196,917.918,829.625,1446.0
3304557005197,901.566,792.202,1962.0
3304557005198,924.002,829.625,1735.0
3304557005199,887.572,806.897,2753.0
3304557005200,1001.437,829.625,1539.0
