geomid,naics,workers
872830101ffffff,Agriculture,4
872830101ffffff,Art/Culture,14
872830101ffffff,Business Support,16
872830101ffffff,Construction,15
872830101ffffff,Corporate,3
872830101ffffff,Education,87
872830101ffffff,Energy,5
872830101ffffff,Financial,8
872830101ffffff,Health,106
872830101ffffff,Hospitality,34
872830101ffffff,Information,5
872830101ffffff,Manufacturing,418
872830101ffffff,Professional Service,47
872830101ffffff,Public Administration,18
872830101ffffff,Real Estate,9
872830101ffffff,Retail,66
872830101ffffff,Transportation,20
872830101ffffff,Wholesale,3
872830128ffffff,Agriculture,9
872830128ffffff,Art/Culture,65
872830128ffffff,Business Support,182
872830128ffffff,Construction,124
872830128ffffff,Corporate,4
872830128ffffff,Education,128
872830128ffffff,Energy,15
872830128ffffff,Financial,161
872830128ffffff,Health,417
872830128ffffff,Hospitality,45
872830128ffffff,Information,73
872830128ffffff,Manufacturing,803
872830128ffffff,Professional Service,261
872830128ffffff,Public Administration,140
872830128ffffff,Real Estate,63
872830128ffffff,Retail,117
872830128ffffff,Transportation,100
872830128ffffff,Wholesale,65
87283012bffffff,Agriculture,1
87283012bffffff,Art/Culture,5
87283012bffffff,Business Support,37
87283012bffffff,Construction,24
87283012bffffff,Education,53
87283012bffffff,Energy,1
87283012bffffff,Financial,6
87283012bffffff,Health,36
87283012bffffff,Hospitality,27
87283012bffffff,Information,2
87283012bffffff,Manufacturing,208
87283012bffffff,Professional Service,6
87283012bffffff,Public Administration,6
87283012bffffff,Retail,15
87283012bffffff,Transportation,52
87283012bffffff,Wholesale,3
87283012cffffff,Agriculture,2
87283012cffffff,Art/Culture,19
87283012cffffff,Business Support,38
87283012cffffff,Construction,68
87283012cffffff,Education,113
87283012cffffff,Energy,4
87283012cffffff,Financial,25
87283012cffffff,Health,233
87283012cffffff,Hospitality,46
87283012cffffff,Information,14
87283012cffffff,Manufacturing,56
87283012cffffff,Professional Service,56
87283012cffffff,Public Administration,53
87283012cffffff,Real Estate,11
87283012cffffff,Retail,84
87283012cffffff,Transportation,55
87283012cffffff,Wholesale,21
87283012dffffff,Agriculture,4
87283012dffffff,Art/Culture,53
87283012dffffff,Business Support,100
87283012dffffff,Construction,62
87283012dffffff,Corporate,3
87283012dffffff,Education,195
87283012dffffff,Energy,8
87283012dffffff,Financial,173
87283012dffffff,Health,352
87283012dffffff,Hospitality,177
87283012dffffff,Information,56
87283012dffffff,Manufacturing,140
87283012dffffff,Professional Service,295
87283012dffffff,Public Administration,132
87283012dffffff,Real Estate,40
87283012dffffff,Retail,192
87283012dffffff,Transportation,105
87283012dffffff,Wholesale,18
872830130ffffff,Agriculture,8
872830130ffffff,Art/Culture,76
872830130ffffff,Business Support,55
872830130ffffff,Construction,103
872830130ffffff,Corporate,1
872830130ffffff,Education,690
872830130ffffff,Energy,13
872830130ffffff,Financial,30
872830130ffffff,Health,1749
872830130ffffff,Hospitality,167
872830130ffffff,Information,31
872830130ffffff,Manufacturing,44
872830130ffffff,Professional Service,74
872830130ffffff,Public Administration,799
872830130ffffff,Real Estate,18
872830130ffffff,Retail,232
872830130ffffff,Transportation,54
872830130ffffff,Wholesale,60
872830132ffffff,Agriculture,79
872830132ffffff,Art/Culture,39
872830132ffffff,Business Support,141
872830132ffffff,Construction,272
872830132ffffff,Corporate,3
872830132ffffff,Education,70
872830132ffffff,Energy,51
872830132ffffff,Financial,174
872830132ffffff,Health,198
872830132ffffff,Hospitality,85
872830132ffffff,Information,80
872830132ffffff,Manufacturing,243
872830132ffffff,Professional Service,249
872830132ffffff,Public Administration,243
872830132ffffff,Real Estate,49
872830132ffffff,Retail,328
872830132ffffff,Transportation,144
872830132ffffff,Wholesale,37
872830133ffffff,Agriculture,15
872830133ffffff,Art/Culture,25
872830133ffffff,Business Support,84
872830133ffffff,Construction,205
872830133ffffff,Corporate,2
872830133ffffff,Education,465
872830133ffffff,Energy,8
872830133ffffff,Financial,122
872830133ffffff,Health,352
872830133ffffff,Hospitality,122
872830133ffffff,Information,49
872830133ffffff,Manufacturing,92
872830133ffffff,Professional Service,157
872830133ffffff,Public Administration,1321
872830133ffffff,Real Estate,43
