geomid,naics,workers
88498649b7fffff,Retail,8
88499516d9fffff,Art/Culture,9
88499516d9fffff,Business Support,11
88499516d9fffff,Education,204
88499516d9fffff,Energy,4
88499516d9fffff,Health,71
88499516d9fffff,Hospitality,111
88499516d9fffff,Information,3
88499516d9fffff,Manufacturing,252
88499516d9fffff,Professional Service,14
88499516d9fffff,Public Administration,95
88499516d9fffff,Real Estate,20
88499516d9fffff,Retail,616
88499516d9fffff,Transportation,15
88499516d9fffff,Wholesale,56
8849958001fffff,Art/Culture,62
8849958001fffff,Business Support,48
8849958001fffff,Education,264
8849958001fffff,Energy,9
8849958001fffff,Financial,250
8849958001fffff,Health,157
8849958001fffff,Hospitality,401
8849958001fffff,Information,22
8849958001fffff,Manufacturing,113
8849958001fffff,Professional Service,42
8849958001fffff,Public Administration,1270
8849958001fffff,Real Estate,28
8849958001fffff,Retail,1320
8849958001fffff,Wholesale,55
8849958003fffff,Art/Culture,29
8849958003fffff,Construction,8
8849958003fffff,Education,30
8849958003fffff,Hospitality,12
8849958003fffff,Manufacturing,9
8849958003fffff,Public Administration,1
8849958003fffff,Retail,24
8849958003fffff,Transportation,180
8849958005fffff,Art/Culture,2
8849958005fffff,Business Support,1
8849958005fffff,Education,213
8849958005fffff,Health,89
8849958005fffff,Hospitality,60
8849958005fffff,Information,6
8849958005fffff,Manufacturing,65
8849958005fffff,Professional Service,8
8849958005fffff,Public Administration,542
8849958005fffff,Real Estate,2
8849958005fffff,Retail,243
8849958005fffff,Transportation,7
8849958005fffff,Wholesale,84
8849958009fffff,Education,27
8849958009fffff,Health,8
8849958009fffff,Hospitality,15
8849958009fffff,Manufacturing,12
8849958009fffff,Real Estate,7
8849958009fffff,Retail,106
884995800dfffff,Art/Culture,7
884995800dfffff,Business Support,2
884995800dfffff,Education,272
884995800dfffff,Financial,4
884995800dfffff,Health,44
884995800dfffff,Hospitality,109
884995800dfffff,Manufacturing,74
884995800dfffff,Professional Service,14
884995800dfffff,Public Administration,24
884995800dfffff,Real Estate,7
884995800dfffff,Retail,516
884995800dfffff,Transportation,11
884995800dfffff,Wholesale,28
8849958013fffff,Art/Culture,21
8849958013fffff,Hospitality,13
8849958013fffff,Manufacturing,8
8849958013fffff,Retail,27
8849958013fffff,Wholesale,1
8849958019fffff,Art/Culture,19
8849958019fffff,Business Support,9
8849958019fffff,Construction,3
8849958019fffff,Education,234
8849958019fffff,Health,109
8849958019fffff,Hospitality,224
8849958019fffff,Information,17
8849958019fffff,Manufacturing,492
8849958019fffff,Professional Service,22
8849958019fffff,Public Administration,28
8849958019fffff,Real Estate,3
8849958019fffff,Retail,776
8849958019fffff,Wholesale,31
8849958021fffff,Business Support,2
8849958021fffff,Education,35
8849958021fffff,Hospitality,31
8849958021fffff,Manufacturing,19
8849958021fffff,Public Administration,476
8849958021fffff,Retail,129
8849958021fffff,Transportation,32
8849958021fffff,Wholesale,9
8849958027fffff,Art/Culture,8
8849958027fffff,Education,15
8849958027fffff,Financial,4
8849958027fffff,Health,21
8849958027fffff,Hospitality,88
8849958027fffff,Manufacturing,435
