geomid,naics,workers
8729a0362ffffff,Agriculture,2
8729a0362ffffff,Business Support,19
8729a0362ffffff,Construction,16
8729a0362ffffff,Energy,2
8729a0362ffffff,Financial,9
8729a0362ffffff,Hospitality,3
8729a0362ffffff,Information,1
8729a0362ffffff,Manufacturing,45
8729a0362ffffff,Professional Service,11
8729a0362ffffff,Public Administration,9
8729a0362ffffff,Retail,4
8729a0362ffffff,Transportation,7
8729a0362ffffff,Wholesale,25
8729a0364ffffff,Agriculture,16
8729a0364ffffff,Art/Culture,65
8729a0364ffffff,Business Support,146
8729a0364ffffff,Construction,241
8729a0364ffffff,Corporate,1
8729a0364ffffff,Education,320
8729a0364ffffff,Energy,92
8729a0364ffffff,Financial,183
8729a0364ffffff,Health,320
8729a0364ffffff,Hospitality,260
8729a0364ffffff,Information,35
8729a0364ffffff,Manufacturing,101
8729a0364ffffff,Professional Service,191
8729a0364ffffff,Public Administration,176
8729a0364ffffff,Real Estate,78
8729a0364ffffff,Retail,420
8729a0364ffffff,Transportation,190
8729a0364ffffff,Wholesale,114
8729a0365ffffff,Agriculture,29
8729a0365ffffff,Art/Culture,54
8729a0365ffffff,Business Support,142
8729a0365ffffff,Construction,406
8729a0365ffffff,Corporate,1
8729a0365ffffff,Education,351
8729a0365ffffff,Energy,7
8729a0365ffffff,Financial,77
8729a0365ffffff,Health,391
8729a0365ffffff,Hospitality,273
8729a0365ffffff,Information,23
8729a0365ffffff,Manufacturing,121
8729a0365ffffff,Professional Service,300
8729a0365ffffff,Public Administration,82
8729a0365ffffff,Real Estate,131
8729a0365ffffff,Retail,187
8729a0365ffffff,Transportation,93
8729a0365ffffff,Wholesale,41
8729a0366ffffff,Agriculture,11
8729a0366ffffff,Art/Culture,29
8729a0366ffffff,Business Support,20
8729a0366ffffff,Construction,45
8729a0366ffffff,Education,203
8729a0366ffffff,Energy,2
8729a0366ffffff,Financial,101
8729a0366ffffff,Health,181
8729a0366ffffff,Hospitality,31
8729a0366ffffff,Information,3
8729a0366ffffff,Manufacturing,51
8729a0366ffffff,Professional Service,38
8729a0366ffffff,Public Administration,40
8729a0366ffffff,Real Estate,108
8729a0366ffffff,Retail,32
8729a0366ffffff,Transportation,27
8729a0366ffffff,Wholesale,128
8729a0374ffffff,Agriculture,3
8729a0374ffffff,Business Support,33
8729a0374ffffff,Construction,134
8729a0374ffffff,Education,170
8729a0374ffffff,Energy,1
8729a0374ffffff,Financial,50
8729a0374ffffff,Health,121
8729a0374ffffff,Hospitality,74
8729a0374ffffff,Information,9
8729a0374ffffff,Manufacturing,28
8729a0374ffffff,Professional Service,96
8729a0374ffffff,Public Administration,22
8729a0374ffffff,Real Estate,23
8729a0374ffffff,Retail,49
8729a0374ffffff,Transportation,20
8729a0374ffffff,Wholesale,13
8729a0a40ffffff,Agriculture,18
8729a0a40ffffff,Art/Culture,15
8729a0a40ffffff,Business Support,36
8729a0a40ffffff,Construction,81
8729a0a40ffffff,Corporate,14
8729a0a40ffffff,Education,146
8729a0a40ffffff,Energy,2
8729a0a40ffffff,Financial,73
8729a0a40ffffff,Health,150
8729a0a40ffffff,Hospitality,52
8729a0a40ffffff,Information,30
8729a0a40ffffff,Manufacturing,40
8729a0a40ffffff,Professional Service,59
8729a0a40ffffff,Public Administration,37
8729a0a40ffffff,Real Estate,57
8729a0a40ffffff,Retail,76
8729a0a40ffffff,Transportation,45
8729a0a40ffffff,Wholesale,44
8729a0a41ffffff,Agriculture,1
8729a0a41ffffff,Art/Culture,23
8729a0a41ffffff,Construction,14
8729a0a41ffffff,Corporate,3
8729a0a41ffffff,Education,4
8729a0a41ffffff,Energy,3
8729a0a41ffffff,Financial,3
8729a0a41ffffff,Health,18
8729a0a41ffffff,Hospitality,43
8729a0a41ffffff,Information,3
8729a0a41ffffff,Manufacturing,42
8729a0a41ffffff,Professional Service,38
8729a0a41ffffff,Real Estate,4
8729a0a41ffffff,Retail,10
8729a0a41ffffff,Transportation,6
8729a0a41ffffff,Wholesale,15
8729a0a43ffffff,Art/Culture,4
8729a0a43ffffff,Business Support,7
8729a0a43ffffff,Construction,30
8729a0a43ffffff,Corporate,1
8729a0a43ffffff,Education,14
8729a0a43ffffff,Energy,1
8729a0a43ffffff,Financial,14
8729a0a43ffffff,Health,41
8729a0a43ffffff,Hospitality,6
8729a0a43ffffff,Information,10
8729a0a43ffffff,Manufacturing,8
8729a0a43ffffff,Professional Service,21
8729a0a43ffffff,Public Administration,36
8729a0a43ffffff,Real Estate,18
8729a0a43ffffff,Retail,9
8729a0a43ffffff,Transportation,9
8729a0a43ffffff,Wholesale,11
8729a0a48ffffff,Agriculture,19
8729a0a48ffffff,Art/Culture,54
8729a0a48ffffff,Business Support,121
8729a0a48ffffff,Construction,183
8729a0a48ffffff,Education,283
8729a0a48ffffff,Energy,48
8729a0a48ffffff,Financial,74
8729a0a48ffffff,Health,392
8729a0a48ffffff,Hospitality,269
8729a0a48ffffff,Information,35
