geomid,naics,workers
3304557005001,Art/Culture,58
3304557005001,Business Support,69459
3304557005001,Construction,430
3304557005001,Corporate,180
3304557005001,Education,18
3304557005001,Energy,1604
3304557005001,Financial,532
3304557005001,Health,110
3304557005001,Hospitality,374
3304557005001,Information,2816
3304557005001,Manufacturing,232
3304557005001,Professional Service,2168
3304557005001,Public Administration,506
3304557005001,Real Estate,32
3304557005001,Retail,846
3304557005001,Transportation,4863
3304557005001,Wholesale,502
3304557005002,Agriculture,50
3304557005002,Art/Culture,154
3304557005002,Business Support,294
3304557005002,Construction,14
3304557005002,Corporate,4
3304557005002,Education,34
3304557005002,Energy,2
3304557005002,Financial,2
3304557005002,Health,1646
3304557005002,Information,882
3304557005002,Manufacturing,2
3304557005002,Professional Service,82
3304557005002,Public Administration,1387
3304557005002,Retail,194
3304557005002,Transportation,176
3304557005002,Wholesale,74
3304557005003,Agriculture,124
3304557005003,Art/Culture,1042
3304557005003,Business Support,4401
3304557005003,Construction,18
3304557005003,Corporate,14
3304557005003,Education,4
3304557005003,Financial,8
3304557005003,Health,2392
3304557005003,Hospitality,160
3304557005003,Information,34
3304557005003,Manufacturing,24
3304557005003,Professional Service,34
3304557005003,Real Estate,40
3304557005003,Retail,1446
3304557005003,Transportation,72
3304557005003,Wholesale,188
3304557005004,Agriculture,20
3304557005004,Art/Culture,8
3304557005004,Business Support,772
3304557005004,Construction,322
3304557005004,Corporate,90
3304557005004,Education,12
3304557005004,Energy,6
3304557005004,Financial,2
3304557005004,Health,4
3304557005004,Information,28
3304557005004,Manufacturing,58
3304557005004,Professional Service,172
3304557005004,Retail,212
3304557005004,Wholesale,30
3304557005005,Business Support,8
3304557005005,Construction,52
3304557005005,Corporate,12
3304557005005,Energy,2
3304557005005,Information,18
3304557005005,Manufacturing,2
3304557005005,Professional Service,26
3304557005005,Retail,174
3304557005005,Transportation,1186
3304557005005,Wholesale,6
3304557005006,Agriculture,4
3304557005006,Business Support,132
3304557005006,Construction,174
3304557005006,Corporate,54
3304557005006,Financial,4
3304557005006,Information,4
3304557005006,Manufacturing,110
3304557005006,Retail,406
3304557005006,Transportation,6
3304557005006,Wholesale,14
3304557005007,Agriculture,18
3304557005007,Art/Culture,6
3304557005007,Business Support,24
3304557005007,Construction,74
3304557005007,Corporate,270
3304557005007,Energy,70
3304557005007,Health,2
3304557005007,Hospitality,2
3304557005007,Information,94
3304557005007,Manufacturing,2
3304557005007,Retail,136
3304557005007,Transportation,10
3304557005007,Wholesale,68
3304557005008,Art/Culture,16
3304557005008,Business Support,448
3304557005008,Construction,264
3304557005008,Corporate,42
3304557005008,Information,26
3304557005008,Manufacturing,20
3304557005008,Professional Service,146
3304557005008,Retail,202
3304557005008,Transportation,628
3304557005008,Wholesale,66
3304557005009,Business Support,206
3304557005009,Construction,34
3304557005009,Corporate,10
3304557005009,Energy,228
3304557005009,Financial,2
3304557005009,Manufacturing,328
3304557005009,Retail,248
3304557005009,Wholesale,20
3304557005010,Agriculture,4
3304557005010,Business Support,320
3304557005010,Construction,18
3304557005010,Energy,12
3304557005010,Financial,14
3304557005010,Retail,210
3304557005010,Transportation,2
3304557005010,Wholesale,56
3304557005011,Agriculture,2
3304557005011,Business Support,26
3304557005011,Construction,90
3304557005011,Corporate,10
3304557005011,Energy,18
3304557005011,Information,2
3304557005011,Manufacturing,42
3304557005011,Retail,348
3304557005011,Wholesale,62
3304557005012,Agriculture,6
3304557005012,Construction,68
3304557005012,Corporate,10
3304557005012,Energy,340
3304557005012,Financial,10
3304557005012,Manufacturing,1698
3304557005012,Retail,1128
3304557005013,Agriculture,34
3304557005013,Business Support,36
3304557005013,Construction,30
3304557005013,Corporate,34
3304557005013,Education,20
3304557005013,Energy,326
3304557005013,Health,2108
3304557005013,Hospitality,4
3304557005013,Information,10
3304557005013,Manufacturing,94
3304557005013,Professional Service,22
3304557005013,Retail,1010
3304557005013,Transportation,2
3304557005013,Wholesale,46
3304557005014,Art/Culture,4
3304557005014,Business Support,164
3304557005014,Construction,4
3304557005014,Corporate,70
3304557005014,Education,6
3304557005014,Financial,6
3304557005014,Health,660
3304557005014,Information,216
3304557005014,Manufacturing,4
3304557005014,Professional Service,138
3304557005014,Retail,2152
3304557005014,Transportation,38
3304557005014,Wholesale,502
3304557005015,Agriculture,4
3304557005015,Business Support,184
3304557005015,Construction,4
3304557005015,Energy,8
3304557005015,Information,26
3304557005015,Manufacturing,6
3304557005015,Professional Service,4
3304557005015,Retail,32
3304557005015,Wholesale,32
3304557005016,Agriculture,4
3304557005016,Business Support,92
3304557005016,Construction,80
3304557005016,Corporate,90
3304557005016,Energy,22
3304557005016,Financial,36
3304557005016,Health,2
3304557005016,Hospitality,12
3304557005016,Information,20
3304557005016,Professional Service,138
3304557005016,Real Estate,6
3304557005016,Retail,594
3304557005016,Transportation,16
3304557005016,Wholesale,406
3304557005017,Agriculture,2
3304557005017,Business Support,332
3304557005017,Construction,2
3304557005017,Corporate,8
3304557005017,Education,4
3304557005017,Energy,4
3304557005017,Information,4
3304557005017,Manufacturing,40
3304557005017,Professional Service,2
3304557005017,Public Administration,1397
3304557005017,Real Estate,2
